Date,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
2022-01-03,721.42,2041.4,4461.78,939.98,830.83,6616.55,2772.39,3284.9,1381.78,1230.61,1070.39,598.13,2767.07,3252.71,948.02,438.67,231.46,2401.18,489.3,1052.97,8118.65,4697.24,5541.87,10791.67,1515.02,3864.44,1525.8,773.52,778.77,765.83,453.47,7421.07,448.7,288.66,747.24,1039.49,401.07,6631.73,1128.87,844.27,441.6,3646.83,14679.31,3713.88
2022-01-04,694.94,2006.5,4500.75,959.98,826.34,6684.29,2896.06,3269.19,1374.1,1261.27,1078.32,606.11,2816.13,3332.92,962.32,440.44,233.15,2410.98,470.48,1052.97,8259.85,4588.69,5564.04,10584.14,1536.98,3825.6,1525.8,776.79,778.77,760.89,457.16,7421.07,458.25,288.66,773.01,1039.49,401.07,6722.89,1145.41,848.51,438.04,3638.1,14746.56,3731.44
2022-01-05,681.7,1980.33,4344.88,963.98,817.36,6729.46,2865.14,3308.48,1328.04,1234.99,1070.39,598.13,2757.25,3332.92,928.97,433.36,233.15,2410.98,461.07,1052.97,8306.91,4549.22,5519.71,10422.73,1501.85,3786.76,1530.5,737.62,778.77,751.01,457.16,7421.07,454.43,278.1,781.6,1054.55,401.07,6586.15,1145.41,831.54,427.35,3533.41,14763.38,3696.32
2022-01-06,688.32,1945.44,4422.81,927.98,821.85,6752.04,2865.14,3269.19,1305.01,1204.34,1074.36,598.13,2757.25,3261.62,909.91,446.63,229.77,2371.78,451.66,1067.73,8330.44,4499.88,5586.21,10284.37,1528.2,3777.05,1525.8,721.3,774.02,751.01,457.16,7421.07,458.25,281.62,794.48,1039.49,401.07,6540.57,1190.89,831.54,413.11,3594.48,14612.05,3713.88
2022-01-07,709.83,1945.44,4442.3,907.98,821.85,6910.11,2916.67,3292.76,1320.37,1195.58,1078.32,602.12,2767.07,3261.62,905.15,468.74,231.46,2420.78,461.07,1067.73,8353.98,4450.54,5697.04,10099.9,1558.94,3835.31,1558.76,731.09,774.02,746.07,453.47,7550.51,458.25,267.54,815.95,1048.53,406.35,6517.78,1166.08,861.24,427.35,3638.1,14914.71,3705.1
2022-01-10,711.49,1936.71,4403.33,907.98,826.34,6864.95,2906.37,3284.9,1312.69,1160.54,1066.43,598.13,2767.07,3127.95,909.91,464.32,229.77,2273.77,464.83,1116.93,8330.44,4450.54,5674.88,10076.84,1563.33,3815.89,1596.43,714.77,769.28,746.07,457.16,7356.35,456.34,267.54,833.13,1039.49,411.62,6472.2,1170.22,882.45,427.35,3577.03,14662.49,3731.44
2022-01-11,694.94,1814.58,4442.3,895.98,799.39,6955.28,2896.06,3261.33,1305.01,1143.02,1070.39,594.14,2767.07,3012.1,895.62,464.32,226.39,2116.96,451.66,1116.93,8189.25,4193.97,5785.71,10076.84,1541.37,3699.37,1577.6,669.08,759.78,746.07,457.16,7421.07,446.79,269.3,820.25,1039.49,408.1,6335.47,1161.95,857.0,427.35,3568.31,14628.86,3669.98
2022-01-12,678.4,1688.08,4461.78,895.98,817.36,6955.28,2906.37,3269.19,1308.85,1143.02,1074.36,594.14,2806.31,3047.75,886.09,455.47,216.26,2107.16,457.31,1112.01,8236.32,4322.25,5852.22,10146.02,1541.37,3631.41,1601.14,678.87,755.03,746.07,460.85,7356.35,429.61,274.58,815.95,1045.51,401.07,6358.26,1149.54,844.27,413.11,3585.76,14864.27,3801.67
2022-01-13,699.08,1714.25,4500.75,891.98,812.87,6955.28,2896.06,3292.76,1305.01,1186.82,1074.36,594.14,2796.5,3056.66,895.62,455.47,219.64,1960.15,451.66,1116.93,8259.85,4697.24,5852.22,10215.2,1493.07,3641.12,1601.14,678.87,759.78,746.07,460.85,7421.07,421.97,256.98,803.07,1042.5,404.59,6449.41,1161.95,835.78,413.11,3646.83,15251.01,3749.0
2022-01-14,682.53,1701.17,4461.78,891.98,826.34,7090.77,2926.98,3284.9,1320.37,1164.92,1070.39,594.14,2816.13,3119.04,900.38,468.74,219.64,2087.56,423.43,1092.33,8236.32,4707.11,5763.55,10215.2,1475.5,3641.12,1596.43,665.82,759.78,751.01,464.53,7421.07,418.15,269.3,803.07,1039.49,404.59,6381.05,1174.35,831.54,434.48,3655.55,15822.71,3705.1
2022-01-17,670.12,1618.29,4422.81,895.98,812.87,7000.44,2968.2,3308.48,1305.01,1169.3,1066.43,590.16,2825.94,3101.22,881.33,455.47,214.57,1955.25,432.84,1087.41,8259.85,4598.56,5741.38,10030.72,1466.72,3621.7,1605.85,656.02,755.03,746.07,468.22,7313.21,429.61,256.98,811.66,1039.49,401.07,6221.52,1149.54,814.57,438.04,3646.83,15805.9,3643.64
2022-01-18,670.12,1552.86,4403.33,887.98,794.9,6932.69,2916.67,3292.76,1305.01,1156.16,1058.5,590.16,2845.56,3074.48,886.09,451.05,214.57,1857.24,425.31,1102.17,8259.85,4657.77,5697.04,10030.72,1532.59,3495.47,1615.27,682.14,750.28,746.07,468.22,7183.77,429.61,260.5,815.95,994.29,397.55,6130.36,1137.14,814.57,427.35,3707.9,15906.78,3608.52
2022-01-19,649.44,1504.88,4364.36,871.98,808.38,6932.69,2926.98,3245.61,1289.66,1199.96,1030.75,590.16,2757.25,3083.39,876.56,459.9,223.02,1818.04,429.08,1107.09,8236.32,4825.53,5697.04,9846.25,1567.72,3369.25,1601.14,691.93,745.53,741.12,464.53,6903.32,435.34,262.26,815.95,979.23,394.03,6084.78,1116.46,835.78,441.6,3707.9,15637.75,3599.74
2022-01-20,624.62,1688.08,4305.91,871.98,812.87,7023.02,2947.59,3245.61,1289.66,1252.51,1034.71,590.16,2816.13,3083.39,867.04,464.32,223.02,1827.84,417.79,1112.01,8024.52,4934.08,5630.54,9915.43,1541.37,3369.25,1601.14,678.87,745.53,741.12,464.53,7162.2,435.34,267.54,807.36,937.05,399.31,6039.2,1091.65,827.3,445.16,3681.73,15368.71,3599.74
2022-01-21,661.85,1696.8,4364.36,875.98,799.39,7181.1,2957.9,3277.04,1281.98,1243.75,1034.71,594.14,2865.19,3056.66,890.86,455.47,221.33,1940.54,417.79,1112.01,8165.72,4958.75,5741.38,9938.48,1541.37,3514.89,1605.85,685.4,755.03,746.07,468.22,7356.35,446.79,272.82,803.07,964.16,401.07,6312.68,1095.79,827.3,434.48,3777.7,15805.9,3643.64
2022-01-24,657.71,1644.46,4305.91,871.98,794.9,7045.6,2926.98,3237.75,1274.31,1287.55,1038.68,594.14,2855.38,3119.04,890.86,459.9,219.64,1813.14,444.13,1126.77,8095.12,4924.21,5674.88,10261.31,1497.46,3446.92,1601.14,685.4,736.03,746.07,464.53,7270.06,429.61,255.22,803.07,940.06,395.79,6358.26,1091.65,823.05,430.92,3751.52,15738.64,3582.18
2022-01-25,641.17,1535.41,4247.46,859.98,790.41,7023.02,2803.3,3198.46,1201.38,1199.96,1026.78,590.16,2835.75,3012.1,881.33,455.47,212.88,1690.63,414.02,1097.25,8236.32,4786.06,5630.54,10099.9,1493.07,3340.12,1601.14,665.82,750.28,741.12,464.53,7270.06,412.42,244.66,807.36,903.9,394.03,6198.73,1087.52,810.33,427.35,3742.8,15570.49,3564.62
2022-01-26,603.94,1574.67,4247.46,855.98,794.9,6955.28,2937.29,3214.17,1224.41,1217.47,1034.71,598.13,2933.87,3003.19,843.22,468.74,217.95,1734.73,417.79,1112.01,8236.32,4766.32,5719.21,10192.14,1475.5,3233.31,1601.14,662.55,764.53,736.18,460.85,7615.23,400.97,255.22,807.36,964.16,397.55,6267.1,1087.52,814.57,420.23,3830.04,15318.27,3626.08
2022-01-27,587.39,1539.77,4266.94,847.98,790.41,7045.6,2968.2,3253.47,1193.7,1213.1,1026.78,594.14,2963.31,2967.54,824.16,455.47,216.26,1710.23,442.25,1102.17,8189.25,4677.51,5697.04,10053.78,1457.93,3145.92,1591.72,656.02,750.28,736.18,457.16,7572.08,402.88,248.18,794.48,1006.34,395.79,6153.15,1091.65,814.57,438.04,3725.35,15637.75,3564.62
2022-01-28,608.07,1544.14,4266.94,867.98,781.43,7023.02,3091.88,3253.47,1331.88,1226.23,1042.64,598.13,3002.56,3029.92,838.45,459.9,226.39,1720.03,470.48,1092.33,8165.72,4638.03,5652.71,10099.9,1475.5,3165.34,1572.89,639.71,750.28,736.18,464.53,7528.94,416.24,253.46,794.48,988.27,392.27,6221.52,1099.92,814.57,452.28,3716.62,15637.75,3555.84
2022-01-31,603.94,1544.14,4266.94,823.98,781.43,6887.53,3019.74,3198.46,1297.34,1252.51,1046.61,594.14,2933.87,3101.22,833.69,530.65,233.15,1759.23,559.87,1077.57,8212.78,4647.9,5608.38,10099.9,1462.33,3194.47,1544.63,649.5,750.28,736.18,460.85,7615.23,410.51,256.98,798.78,997.31,401.07,6130.36,1091.65,852.75,495.02,3655.55,15553.67,3538.28
2022-02-02,599.8,1552.86,4286.43,835.98,785.92,7045.6,3040.35,3198.46,1281.98,1256.89,1042.64,594.14,2933.87,3172.51,852.74,504.12,233.15,2048.35,555.17,1082.49,8165.72,4667.64,5674.88,10146.02,1462.33,3194.47,1591.72,682.14,750.28,741.12,468.22,7658.37,412.42,258.74,807.36,991.28,401.07,6267.1,1116.46,827.3,491.46,3638.1,15419.16,3555.84
2022-02-03,599.8,1605.2,4286.43,835.98,785.92,6977.86,3009.43,3245.61,1274.31,1226.23,1046.61,594.14,2933.87,3119.04,905.15,495.27,238.22,1955.25,606.92,1062.81,8000.99,4638.03,5697.04,10053.78,1409.63,3349.83,1563.47,662.55,750.28,746.07,464.53,7572.08,429.61,251.7,803.07,1012.37,395.79,6289.89,1116.46,823.05,480.77,3664.28,15351.9,3520.72
2022-02-04,595.66,1579.03,4286.43,863.98,785.92,6977.86,3019.74,3308.48,1308.85,1239.37,1058.5,594.14,2933.87,3261.62,900.38,490.85,234.84,1940.54,588.1,1062.81,8118.65,4667.64,5697.04,10030.72,1422.8,3310.99,1591.72,659.29,750.28,746.07,468.22,7399.5,427.7,253.46,790.19,991.28,395.79,6403.84,1116.46,814.57,480.77,3690.45,15133.31,3529.5
2022-02-07,624.62,1579.03,4266.94,851.98,781.43,7045.6,3040.35,3457.79,1347.23,1230.61,1074.36,610.09,2943.69,3315.09,900.38,508.54,238.22,1930.74,639.85,1057.89,8142.19,4647.9,5741.38,10307.43,1414.02,3272.15,1587.02,698.45,740.78,741.12,464.53,7162.2,425.79,255.22,794.48,982.24,404.59,6586.15,1112.33,831.54,495.02,3742.8,15200.56,3511.94
2022-02-08,620.48,1561.58,4325.4,911.98,776.94,6977.86,3091.88,3489.23,1343.4,1230.61,1086.25,606.11,2992.75,3252.71,909.91,508.54,239.91,1945.44,597.51,1043.13,8118.65,4588.69,5652.71,10007.66,1378.89,3233.31,1544.63,672.34,740.78,815.24,468.22,7075.91,423.88,260.5,794.48,979.23,406.35,6517.78,1108.19,818.81,480.77,3690.45,14914.71,3511.94
2022-02-09,608.07,1552.86,4325.4,899.98,767.96,7181.1,3122.8,3497.08,1362.59,1230.61,1102.11,606.11,3012.37,3386.39,895.62,499.69,238.22,1940.54,573.99,1077.57,8165.72,4598.56,5630.54,10030.72,1387.67,3291.57,1554.05,678.87,745.53,790.53,471.91,6946.47,420.06,253.46,803.07,964.16,404.59,6677.31,1112.33,814.57,459.41,3734.07,15251.01,3476.82
