Date,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PGEO.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
2023-02-24,1201.24,1772.25,4661.92,1486.08,565.11,7987.13,3736.73,3937.89,1173.18,1630.33,1182.51,634.46,4163.44,2180.06,914.22,612.82,268.37,968.12,993.62,1467.77,9814.76,6537.66,6074.8,10782.84,1195.66,3349.83,2184.91,939.11,675.01,829.19,1415.0,542.82,5609.53,435.44,197.78,775.38,1285.4,388.96,6944.04,1349.36,1531.76,472.36,3653.61,17739.73,3942.91
2023-02-27,1188.37,1781.11,4702.46,1464.61,565.11,8079.2,3757.72,3979.25,1168.8,1598.45,1174.0,638.72,4173.72,2161.9,957.76,608.24,268.37,953.38,1003.08,1457.88,9694.18,6562.33,6097.9,10709.98,1195.66,3213.89,2088.66,974.33,670.19,786.55,1395.0,542.82,5495.52,445.07,196.0,766.42,1305.03,388.96,6920.58,1336.17,1522.18,483.43,3581.26,17899.71,3897.59
2023-02-28,1188.37,1763.39,4945.69,1486.08,574.29,8056.18,3684.25,3863.43,1160.04,1607.56,1122.96,630.2,4112.04,2125.56,957.76,608.24,266.63,933.72,1012.55,1472.71,9766.53,6735.02,5982.41,10807.13,1227.6,3155.63,2030.91,978.24,665.37,758.12,1445.0,550.93,5335.9,445.07,192.43,788.83,1285.4,385.34,6779.83,1362.54,1555.69,483.43,3508.91,19837.21,3788.82
2023-03-01,1205.53,1772.25,4986.23,1447.43,565.11,7918.08,3757.72,3904.8,1160.04,1575.68,1148.48,630.2,4153.16,2098.31,948.08,608.24,268.37,938.64,1003.08,1467.77,9549.49,6833.7,5797.63,10952.84,1209.35,3155.63,2030.91,974.33,675.01,791.29,1475.0,542.82,5290.29,447.0,190.65,793.31,1305.03,385.34,6803.29,1353.75,1507.82,498.19,3554.13,19606.13,3761.63
2023-03-02,1239.85,1781.11,4986.23,1554.8,565.11,7941.1,3726.23,3954.43,1155.67,1598.45,1152.73,634.46,4204.56,2098.31,952.92,608.24,287.41,933.72,979.43,1472.71,9501.26,6735.02,5774.53,10807.13,1177.4,3155.63,2021.28,962.59,665.37,824.45,1430.0,542.82,5358.7,445.07,190.65,815.72,1319.75,378.1,6709.45,1358.15,1641.85,490.81,3508.91,20139.39,3761.63
2023-03-03,1218.4,1767.82,4905.15,1533.33,555.92,7802.99,3673.75,3937.89,1146.91,1575.68,1156.99,634.46,4132.6,2080.14,928.73,631.11,287.41,933.72,974.7,1467.77,9380.69,6735.02,5797.63,11098.56,1168.28,3243.02,1982.78,962.59,660.55,829.19,1455.0,542.82,5381.5,437.37,190.65,802.27,1280.5,381.72,6732.91,1375.73,1632.28,490.81,3527.0,19997.19,3680.05
2023-03-06,1192.66,1736.8,4925.42,1567.69,560.51,7733.94,3694.74,3962.71,1120.65,1630.33,1152.73,630.2,4163.44,2080.14,919.06,617.39,292.6,909.15,913.19,1438.11,9404.8,6685.68,5774.53,10977.13,1140.89,3194.47,2030.91,962.59,670.19,814.98,1525.0,542.82,5176.28,437.37,194.21,806.76,1280.5,379.91,6685.99,1393.31,1632.28,498.19,3508.91,19659.46,3779.76
2023-03-07,1205.53,1719.08,4824.08,1584.87,565.11,7756.95,3736.73,4004.07,1116.27,1621.22,1148.48,630.2,4184.0,2080.14,919.06,626.54,287.41,850.18,941.57,1448.0,9621.84,6463.64,5774.53,10928.56,1145.46,3145.92,2002.03,986.07,684.66,814.98,1450.0,546.87,5039.46,441.22,192.43,806.76,1290.31,379.91,6639.07,1384.52,1579.63,483.43,3508.91,19072.88,3698.18
2023-03-08,1192.66,1670.34,4803.81,1529.03,560.51,7895.06,3726.23,4004.07,1107.51,1680.43,1139.97,630.2,4225.12,2071.06,928.73,617.39,283.95,830.52,960.5,1398.58,9453.03,6340.29,5682.14,11147.13,1113.51,3175.05,2021.28,970.41,703.94,814.98,1490.0,542.82,5153.47,439.29,190.65,793.31,1295.22,376.3,6474.85,1371.33,1579.63,476.05,3563.17,18770.7,3716.31
2023-03-09,1205.53,1661.48,4884.89,1529.03,569.7,7895.06,3841.69,3979.25,1125.02,1671.32,1148.48,630.2,4297.08,2043.81,938.41,621.96,290.87,855.09,946.31,1413.4,9453.03,6266.28,5682.14,11147.13,1113.51,3155.63,2002.03,966.5,694.3,810.24,1515.0,542.82,5267.49,433.51,192.43,793.31,1285.4,372.68,6498.31,1397.7,1598.77,483.43,3590.3,19215.08,3716.31
2023-03-10,1188.37,1665.91,4844.35,1503.26,565.11,7779.97,3789.21,3987.53,1116.27,1643.99,1139.97,630.2,4266.24,2016.56,923.9,617.39,280.49,855.09,927.38,1418.35,9404.8,6315.62,5659.04,11147.13,1122.64,3184.76,1982.78,950.85,694.3,814.98,1460.0,538.77,5267.49,429.66,190.65,806.76,1285.4,372.68,6357.55,1397.7,1579.63,479.74,3626.48,19072.88,3725.37
