,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PGEO.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
AKRA.JK,0,93767,1678147,292388,400089,3502111,1400469,1441544,30846,113963,117906,369954,1838420,127992,60845,259011,454990,387188,303604,31926,4328947,1563260,2336773,3287177,54725,1412228,118751,197563,337520,70905,66431,347661,1331645,437004,569733,351157,362514,462770,1733586,105968,51986,386115,880455,9895052,701492
ANTM.JK,93767,0,1597881,275636,480355,3421845,1320203,1361278,154671,58233,238392,450220,1758154,77020,192317,391455,535256,467454,383870,62525,4248681,1482994,2256507,3206911,138548,1331962,35715,280895,417786,190465,94403,427927,1251379,517270,649999,431423,365096,543036,1653320,86593,74071,466381,800189,9814786,560095
ASII.JK,1678147,1597881,0,1314574,2078236,1823964,187891,131592,1767260,1512266,1836273,2048101,142238,1637688,1798284,2001161,2133137,2065335,1981751,1681099,2650800,279570,564078,1519070,1711030,232370,1552607,1878776,2015667,1824485,1709591,2025808,377395,2115151,2247880,2029304,1240619,2140917,260562,1493462,1773428,2064262,797691,8216905,961404
AUTO.JK,292388,275636,1314574,0,763661,3138539,1036897,1077971,419455,112604,521698,733526,1474847,300839,466888,681755,818563,750760,667176,262842,3965374,1169061,1973200,2923605,186956,1035666,220563,564202,701093,491811,182887,711233,813991,800577,933306,714729,108283,826343,1256890,90837,332903,749687,378587,9531480,281852
AVIA.JK,400089,480355,2078236,763661,0,3902200,1800558,1841633,310976,565969,241962,19817,2238509,440547,279951,79618,47722,24094,89173,397136,4729036,1963349,2736862,3687266,367206,1812318,525628,199459,40123,251658,368645,47987,1731735,21771,169644,39667,837616,46694,2133675,584773,304807,55808,1280544,10295142,1116832
BBCA.JK,3502111,3421845,1823964,3138539,3902200,0,2101642,2060567,3591224,3336231,3660238,3872066,1663691,3461653,3622249,3825126,3957102,3889299,3805716,3505064,446194,1938851,943602,642855,3534994,2089882,3376572,3702741,3839632,3648450,3533555,3849773,2170465,3939116,4071845,3853269,3064584,3964882,1768525,3317426,3597393,3888227,2621656,6392941,2785368
BBNI.JK,1400469,1320203,187891,1036897,1800558,2101642,0,47941,1489582,1234589,1558596,1770424,236153,1360010,1520607,1723484,1855460,1787657,1704073,1403421,2928477,420983,936303,1886708,1433352,82048,1274930,1601099,1737990,1546808,1431913,1748131,405228,1837474,1970203,1751626,933444,1863240,551238,1215784,1495751,1786584,435906,8494583,562636
BBRI.JK,1441544,1361278,131592,1077971,1841633,2060567,47941,0,1530657,1275663,1599670,1811498,235340,1401085,1561681,1764558,1896534,1828732,1745148,1444496,2887403,311750,860131,1845633,1474427,109309,1316004,1642173,1779064,1587882,1472988,1789205,247544,1878548,2011277,1792701,996819,1904314,362380,1256859,1536825,1827659,436978,8453508,523937
BBTN.JK,30846,154671,1767260,419455,310976,3591224,1489582,1530657,0,241288,28290,280841,1927533,153535,18534,178025,365877,294365,191049,64789,4418060,1652373,2425886,3376290,60830,1501341,184450,85428,248407,45952,71227,258548,1420758,347891,480620,262044,472832,373657,1822699,216003,54651,297002,969568,9984166,805856
BIRD.JK,113963,58233,1512266,112604,565969,3336231,1234589,1275663,241288,0,324006,535834,1672539,135847,286017,488895,620870,553068,469484,119255,4163066,1397380,2170893,3121297,146863,1246348,59468,366510,503401,288394,143367,513541,1165765,602884,735614,517037,223657,628651,1567706,28791,181742,551995,714574,9729172,428941
