,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PGEO.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
AKRA.JK,0.0,93767.62000000011,1678147.0700000017,292388.92000000004,400089.22,3502111.74,1400469.58,1441544.010000001,30846.530000000046,113963.70999999995,117906.69000000066,369954.52,1838420.1600000013,127992.94999999995,60845.030000000006,259011.8999999991,454990.5200000001,387188.0999999998,303604.3800000002,31926.71999999996,4328947.199999996,1563260.3099999998,2336773.34,3287177.649999996,54725.40000000001,1412228.8699999996,118751.7599999999,197563.54000000044,337520.89999999997,70905.95000000004,66431.40000000002,347661.4500000008,1331645.8900000008,437004.63999999996,569733.7699999998,351157.32999999984,362514.24,462770.79,1733586.45,105968.59000000003,51986.06000000004,386115.4100000001,880455.26,9895052.990000002,701492.340000001
ANTM.JK,93767.62000000011,0.0,1597881.0700000008,275636.4400000002,480355.2200000001,3421845.7399999998,1320203.580000001,1361278.0099999998,154671.10999999937,58233.15000000005,238392.43999999997,450220.5200000003,1758154.1600000008,77020.74999999997,192317.07000000004,391455.78,535256.52,467454.09999999974,383870.38000000047,62525.25999999995,4248681.199999999,1482994.31,2256507.34,3206911.649999999,138548.5400000001,1331962.8699999996,35715.31,280895.89999999997,417786.89999999985,190465.67999999964,94403.90999999992,427927.4500000008,1251379.8900000001,517270.6400000002,649999.7700000001,431423.3299999999,365096.0000000001,543036.7899999998,1653320.4500000002,86593.32000000005,74071.93000000001,466381.41000000003,800189.2599999994,9814786.990000006,560095.1400000001
ASII.JK,1678147.0700000017,1597881.0700000008,0.0,1314574.5900000008,2078236.2899999998,1823964.6699999992,187891.85999999943,131592.2199999998,1767260.1099999999,1512266.7700000007,1836273.51,2048101.5900000017,142238.81999999942,1637688.3600000013,1798284.6100000006,2001161.8500000008,2133137.589999999,2065335.1700000006,1981751.4500000007,1681099.3999999994,2650800.13,279570.1699999998,564078.2300000002,1519070.0399999958,1711030.129999996,232370.89000000063,1552607.640000001,1878776.970000001,2015667.9700000004,1824485.6400000001,1709591.1300000015,2025808.5199999984,377395.7700000001,2115151.7100000004,2247880.840000001,2029304.399999998,1240619.8299999998,2140917.8600000003,260562.7700000002,1493462.310000002,1773428.7000000014,2064262.48,797691.8099999992,8216905.920000003,961404.1100000002
AUTO.JK,292388.92000000004,275636.4400000002,1314574.5900000008,0.0,763661.7000000001,3138539.2599999993,1036897.1000000002,1077971.530000001,419455.78000000026,112604.23999999973,521698.91999999934,733526.9999999993,1474847.6800000009,300839.5300000001,466888.2899999992,681755.789999999,818563.0,750760.579999999,667176.8599999998,262842.8800000004,3965374.7199999955,1169061.6699999897,1973200.860000003,2923605.169999998,186956.46,1035666.9600000003,220563.9199999998,564202.3799999997,701093.3799999992,491811.9499999994,182887.96000000066,711233.9300000004,813991.6499999977,800577.1199999995,933306.2500000006,714729.8100000006,108283.69000000009,826343.2699999998,1256890.3999999985,90837.8800000002,332903.07999999996,749687.8899999995,378587.3300000009,9531480.509999998,281852.4799999996
AVIA.JK,400089.22,480355.2200000001,2078236.2899999998,763661.7000000001,0.0,3902200.9600000004,1800558.8000000007,1841633.2299999997,310976.18000000017,565969.52,241962.77999999997,19817.149999999987,2238509.379999999,440547.9299999999,279951.68000000017,79618.62999999999,47722.729999999916,24094.009999999995,89173.56999999998,397136.88999999984,4729036.420000006,1963349.5299999996,2736862.5599999996,3687266.8700000034,367206.1600000002,1812318.09,525628.6499999997,199459.31999999995,40123.279999999955,251658.44999999992,368645.16000000044,47987.23000000004,1731735.1099999996,21771.060000000067,169644.55,39667.17999999998,837616.4600000002,46694.470000000176,2133675.67,584773.9799999999,304807.59000000026,55808.61,1280544.4799999997,10295142.210000003,1116832.18
BBCA.JK,3502111.74,3421845.7399999998,1823964.6699999992,3138539.2599999993,3902200.9600000004,0.0,2101642.159999998,2060567.730000001,3591224.7800000017,3336231.4400000004,3660238.179999998,3872066.259999998,1663691.5799999996,3461653.029999999,3622249.2800000003,3825126.519999998,3957102.26,3889299.8400000012,3805716.119999998,3505064.0699999984,446194.02000000083,1938851.4299999997,943602.5099999993,642855.9299999992,3534994.8000000017,2089882.8700000006,3376572.31,3702741.6399999983,3839632.6399999973,3648450.31,3533555.8000000003,3849773.1899999985,2170465.8500000006,3939116.38,4071845.5100000044,3853269.0700000003,3064584.500000002,3964882.5299999984,1768525.2899999996,3317426.979999999,3597393.3700000006,3888227.150000004,2621656.48,6392941.250000001,2785368.7800000007
BBNI.JK,1400469.58,1320203.580000001,187891.85999999943,1036897.1000000002,1800558.8000000007,2101642.159999998,0.0,47941.409999999974,1489582.62,1234589.2800000005,1558596.02,1770424.1000000003,236153.30000000016,1360010.8700000006,1520607.1199999996,1723484.3599999994,1855460.0999999996,1787657.6799999992,1704073.9600000002,1403421.9100000001,2928477.6200000024,420983.13000000035,936303.7599999988,1886708.0699999996,1433352.6400000006,82048.05000000019,1274930.1500000006,1601099.4799999995,1737990.4799999986,1546808.1499999992,1431913.64,1748131.0299999982,405228.8899999952,1837474.219999999,1970203.3499999996,1751626.9099999995,933444.6900000001,1863240.3699999996,551238.1099999993,1215784.82,1495751.21,1786584.9899999988,435906.9499999956,8494583.41,562636.2399999994
BBRI.JK,1441544.010000001,1361278.0099999998,131592.2199999998,1077971.530000001,1841633.2299999997,2060567.730000001,47941.409999999974,0.0,1530657.0499999996,1275663.7100000002,1599670.4499999997,1811498.530000001,235340.69000000003,1401085.3000000012,1561681.5499999996,1764558.7900000005,1896534.5300000003,1828732.1100000003,1745148.3900000004,1444496.3399999999,2887403.1899999985,311750.51000000053,860131.5500000007,1845633.640000001,1474427.0699999994,109309.43999999997,1316004.5799999996,1642173.91,1779064.909999999,1587882.5799999996,1472988.0700000005,1789205.459999999,247544.23000000097,1878548.6500000004,2011277.780000001,1792701.340000002,996819.4899999987,1904314.799999999,362380.7400000003,1256859.2500000007,1536825.6400000006,1827659.4200000004,436978.6099999965,8453508.979999987,523937.04999999935
BBTN.JK,30846.530000000046,154671.10999999937,1767260.1099999999,419455.78000000026,310976.18000000017,3591224.7800000017,1489582.62,1530657.0499999996,0.0,241288.1299999988,28290.85,280841.48000000004,1927533.2000000014,153535.47000000067,18534.83000000001,178025.9700000005,365877.4799999998,294365.88000000163,191049.38000000245,64789.530000000086,4418060.239999994,1652373.350000001,2425886.380000001,3376290.689999996,60830.72999999998,1501341.910000001,184450.99000000054,85428.22000000048,248407.86000000002,45952.059999999925,71227.91,258548.41000000015,1420758.9300000018,347891.5999999998,480620.73,262044.28999999998,472832.8599999991,373657.7499999997,1822699.490000002,216003.47999999986,54651.48000000022,297002.3700000001,969568.2999999998,9984166.030000003,805856.0000000006
BIRD.JK,113963.70999999995,58233.15000000005,1512266.7700000007,112604.23999999973,565969.52,3336231.4400000004,1234589.2800000005,1275663.7100000002,241288.1299999988,0.0,324006.7400000001,535834.8200000003,1672539.8600000008,135847.17999999988,286017.83999999985,488895.0799999997,620870.8200000003,553068.4,469484.68000000017,119255.67000000004,4163066.9000000022,1397380.0100000007,2170893.040000002,3121297.349999998,146863.7600000001,1246348.5699999994,59468.580000000016,366510.19999999995,503401.19999999984,288394.7700000001,143367.87999999983,513541.75000000047,1165765.5899999999,602884.9400000002,735614.0700000005,517037.62999999983,223657.7699999999,628651.0900000001,1567706.1500000008,28791.190000000035,181742.57000000004,551995.7100000003,714574.9599999996,9729172.690000001,428941.1200000005
