Date,AKRA.JK,ANTM.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BJBR.JK,BMRI.JK,BTPS.JK,DSNG.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK
2022-01-03,721.42,2041.4,4461.78,6820.13,3020.72,3475.51,1468.21,1070.39,3045.45,3252.71,438.67,8118.65,4697.24,5541.87,10791.67,1515.02,3864.44,1525.8,6631.73,3646.83,14679.31,3713.88
2022-01-04,694.94,2006.5,4500.75,6889.96,3155.47,3458.88,1460.05,1078.32,3099.44,3332.92,440.44,8259.85,4588.69,5564.04,10584.14,1536.98,3825.6,1525.8,6722.89,3638.1,14746.56,3731.44
2022-01-05,681.7,1980.33,4344.88,6936.52,3121.78,3500.45,1411.11,1070.39,3034.65,3332.92,433.36,8306.91,4549.22,5519.7,10422.73,1501.85,3786.76,1530.5,6586.15,3533.41,14763.38,3696.32
2022-01-06,688.32,1945.44,4422.81,6959.79,3121.78,3458.88,1386.64,1074.36,3034.65,3261.62,446.63,8330.44,4499.88,5586.21,10284.37,1528.2,3777.05,1525.8,6540.57,3594.48,14612.05,3713.88
2022-01-07,709.83,1945.44,4442.3,7122.73,3177.93,3483.82,1402.96,1078.32,3045.45,3261.62,468.74,8353.98,4450.54,5697.04,10099.9,1558.94,3835.31,1558.76,6517.78,3638.1,14914.71,3705.1
2022-01-10,711.49,1936.71,4403.33,7076.18,3166.7,3475.51,1394.8,1066.43,3045.45,3127.95,464.32,8330.44,4450.54,5674.88,10076.84,1563.33,3815.89,1596.43,6472.2,3577.03,14662.49,3731.44
2022-01-11,694.94,1814.58,4442.3,7169.29,3155.47,3450.56,1386.64,1070.39,3045.45,3012.1,464.32,8189.25,4193.97,5785.71,10076.84,1541.37,3699.37,1577.6,6335.47,3568.31,14628.86,3669.98
2022-01-12,678.4,1688.08,4461.78,7169.29,3166.7,3458.88,1390.72,1074.36,3088.64,3047.75,455.47,8236.32,4322.25,5852.22,10146.02,1541.37,3631.41,1601.14,6358.26,3585.76,14864.27,3801.67
2022-01-13,699.08,1714.25,4500.75,7169.29,3155.47,3483.82,1386.64,1074.36,3077.84,3056.66,455.47,8259.85,4697.24,5852.22,10215.2,1493.07,3641.12,1601.14,6449.41,3646.83,15251.01,3749.0
2022-01-14,682.53,1701.17,4461.78,7308.95,3189.16,3475.51,1402.96,1070.39,3099.44,3119.04,468.74,8236.32,4707.11,5763.55,10215.2,1475.5,3641.12,1596.43,6381.04,3655.55,15822.71,3705.1
2022-01-17,670.12,1618.29,4422.81,7215.84,3234.08,3500.45,1386.64,1066.43,3110.24,3101.22,455.47,8259.85,4598.56,5741.38,10030.72,1466.72,3621.7,1605.85,6221.52,3646.83,15805.89,3643.64
2022-01-18,670.12,1552.86,4403.33,7146.01,3177.93,3483.82,1386.64,1058.5,3131.84,3074.48,451.05,8259.85,4657.77,5697.04,10030.72,1532.59,3495.47,1615.27,6130.36,3707.9,15906.79,3608.52
2022-01-19,649.44,1504.88,4364.36,7146.01,3189.16,3433.93,1370.33,1030.75,3034.65,3083.39,459.9,8236.32,4825.53,5697.04,9846.25,1567.72,3369.25,1601.14,6084.78,3707.9,15637.75,3599.74
2022-01-20,624.62,1688.08,4305.91,7239.12,3211.62,3433.93,1370.33,1034.71,3099.44,3083.39,464.32,8024.52,4934.08,5630.54,9915.43,1541.37,3369.25,1601.14,6039.2,3681.73,15368.71,3599.74
2022-01-21,661.85,1696.8,4364.36,7402.05,3222.85,3467.19,1362.17,1034.71,3153.44,3056.66,455.47,8165.72,4958.75,5741.38,9938.48,1541.37,3514.89,1605.85,6312.68,3777.7,15805.89,3643.64
2022-01-24,657.71,1644.46,4305.91,7262.39,3189.16,3425.62,1354.02,1038.68,3142.64,3119.04,459.9,8095.12,4924.21,5674.88,10261.31,1497.46,3446.92,1601.14,6358.26,3751.52,15738.64,3582.18
2022-01-25,641.17,1535.41,4247.46,7239.12,3054.41,3384.05,1276.53,1026.78,3121.04,3012.1,455.47,8236.32,4786.06,5630.54,10099.9,1493.07,3340.12,1601.14,6198.73,3742.8,15570.49,3564.62
2022-01-26,603.94,1574.67,4247.46,7169.29,3200.39,3400.67,1301.0,1034.71,3229.04,3003.19,468.74,8236.32,4766.32,5719.21,10192.14,1475.5,3233.31,1601.14,6267.1,3830.04,15318.27,3626.08
2022-01-27,587.39,1539.77,4266.94,7262.39,3234.08,3442.25,1268.37,1026.78,3261.43,2967.54,455.47,8189.25,4677.51,5697.04,10053.78,1457.93,3145.92,1591.72,6153.15,3725.35,15637.75,3564.62
