Date,IndONIA (%)
2022-01-03,2.78064
2022-01-04,2.77729
2022-01-05,2.77936
2022-01-06,2.78388
2022-01-07,2.78686
2022-01-10,2.78349
2022-01-11,2.78583
2022-01-12,2.78841
2022-01-13,2.78166
2022-01-14,2.78693
2022-01-17,2.78573
2022-01-18,2.78725
2022-01-19,2.78866
2022-01-20,2.787
2022-01-21,2.78651
2022-01-24,2.78661
2022-01-25,2.78596
2022-01-26,2.78835
2022-01-27,2.78742
2022-01-28,2.78711
2022-01-31,2.7874
2022-02-02,2.78521
2022-02-03,2.78482
2022-02-04,2.78487
2022-02-07,2.7897
2022-02-08,2.78646
2022-02-09,2.79206
2022-02-10,2.79085
2022-02-11,2.78803
2022-02-14,2.78016
2022-02-15,2.78505
2022-02-16,2.78358
2022-02-17,2.78235
2022-02-18,2.78628
2022-02-21,2.78881
2022-02-22,2.78487
2022-02-23,2.78563
2022-02-24,2.7842
2022-02-25,2.79327
2022-03-01,2.78657
2022-03-02,2.78822
2022-03-04,2.79255
2022-03-07,2.78868
2022-03-08,2.78593
2022-03-09,2.78756
2022-03-10,2.78574
2022-03-11,2.78845
2022-03-14,2.78449
2022-03-15,2.78589
2022-03-16,2.78333
2022-03-17,2.78592
2022-03-18,2.78484
2022-03-21,2.78455
2022-03-22,2.78208
2022-03-23,2.78311
2022-03-24,2.78075
2022-03-25,2.78482
2022-03-28,2.78592
2022-03-29,2.78587
2022-03-30,2.7865
2022-03-31,2.78967
2022-04-01,2.78754
2022-04-04,2.78527
2022-04-05,2.78398
2022-04-06,2.78784
2022-04-07,2.78575
2022-04-08,2.78738
2022-04-11,2.78822
2022-04-12,2.7851
2022-04-13,2.78873
2022-04-14,2.79336
2022-04-18,2.78668
2022-04-19,2.78448
2022-04-20,2.7854
2022-04-21,2.78654
2022-04-22,2.78521
2022-04-25,2.79637
2022-04-26,2.79794
2022-04-27,2.81428
2022-04-28,3.4944
2022-05-09,2.7826
2022-05-10,2.78563
2022-05-11,2.7843
2022-05-12,2.78656
2022-05-13,2.79361
2022-05-17,2.78316
2022-05-18,2.78503
2022-05-19,2.7842
2022-05-20,2.78858
2022-05-23,2.78558
2022-05-24,2.78486
2022-05-25,2.78862
2022-05-27,2.78681
2022-05-30,2.78613
2022-05-31,2.79062
2022-06-02,2.78226
2022-06-03,2.78959
2022-06-06,2.78603
2022-06-07,2.78595
2022-06-08,2.79042
2022-06-09,2.78614
2022-06-10,2.79057
2022-06-13,2.7906
2022-06-14,2.78853
2022-06-15,2.78644
2022-06-16,2.78714
2022-06-17,2.79272
2022-06-20,2.78302
2022-06-21,2.78643
2022-06-22,2.79635
2022-06-23,2.7977
2022-06-24,2.79853
2022-06-27,2.78807
2022-06-28,2.79016
2022-06-29,2.7816
2022-06-30,2.79581
2022-07-01,2.78603
2022-07-04,2.78318
2022-07-05,2.78064
2022-07-06,2.78015
2022-07-07,2.77985
2022-07-08,2.78983
2022-07-11,2.78389
2022-07-12,2.78386
2022-07-13,2.78356
2022-07-14,2.78522
2022-07-15,2.78849
2022-07-18,2.79151
2022-07-19,2.79861
2022-07-20,2.79588
2022-07-21,2.79854
2022-07-22,2.79303
2022-07-25,2.79954
2022-07-26,2.79949
2022-07-27,2.80096
2022-07-28,2.79364
2022-07-29,2.7986
2022-08-01,2.8
2022-08-02,2.80074
2022-08-03,2.80127
2022-08-04,2.80223
2022-08-05,2.80282
2022-08-08,2.80237
2022-08-09,2.80431
2022-08-10,2.80232
2022-08-11,2.81052
2022-08-12,2.80224
2022-08-15,2.80797
2022-08-16,2.80938
2022-08-18,2.81018
2022-08-19,2.81039
2022-08-22,2.81275
2022-08-23,2.84384
2022-08-24,3.07891
2022-08-25,3.10741
2022-08-26,3.09758
2022-08-29,3.12545
2022-08-30,3.14869
2022-08-31,3.1339
2022-09-01,3.1936
2022-09-02,3.18056
2022-09-05,3.24283
2022-09-06,3.25396
2022-09-07,3.27416
2022-09-08,3.29342
2022-09-09,3.25566
2022-09-12,3.31614
2022-09-13,3.34813
2022-09-14,3.34632
2022-09-15,3.3551
2022-09-16,3.29602
2022-09-19,3.38964
2022-09-20,3.37577
2022-09-21,3.33277
2022-09-22,3.54553
2022-09-23,3.6559
2022-09-26,3.73879
2022-09-27,3.76708
2022-09-28,3.79394
2022-09-29,3.82811
